'Ahuimanu	'Ahuimanu, Hawaii
'Aiea	'Aiea, Hawaii
'Ewa Beach	'Ewa Beach, Hawaii
'Ewa Gentry	'Ewa Gentry, Hawaii
'Ewa Villages	'Ewa Villages, Hawaii
'Iolani Palace	'Iolani Palace, Hawaii
'Āhuimanu	'Āhuimanu, Hawaii
'Ō'ōkala	'Ō'ōkala, Hawaii
10/22/00 - Las Vegas	10/22/00 - Las Vegas, Nevada
10/22/00 – Las Vegas	10/22/00 – Las Vegas, Nevada
10/25/00 - San Diego	10/25/00 - San Diego, California
10/25/00 – San Diego	10/25/00 – San Diego, California
10/7/00 - Detroit	10/7/00 - Detroit, Michigan
10/7/00 – Detroit	10/7/00 – Detroit, Michigan
10/9/00 - Chicago	10/9/00 - Chicago, Illinois
10/9/00 – Chicago	10/9/00 – Chicago, Illinois
100	100, West Virginia
11-Mile House	11-Mile House, California
11/3/00 - Boise	11/3/00 - Boise, Idaho
11/3/00 – Boise	11/3/00 – Boise, Idaho
11/30/93 - Las Vegas	11/30/93 - Las Vegas, Nevada
11/30/93 – Las Vegas	11/30/93 – Las Vegas, Nevada
11/6/00 - Seattle	11/6/00 - Seattle, Washington
11/6/00 – Seattle	11/6/00 – Seattle, Washington
14	14, West Virginia
18 Mile House	18 Mile House, California
1866 Great Fire of Portland	1866 Great Fire of Portland, Maine
1866 Great fire of Portland	1866 Great fire of Portland, Maine
20 Exchange Place-CIBC Building	20 Exchange Place-CIBC Building, New York
20 Mile Bend	20 Mile Bend, Florida
2004 U.S. Election voting controversies	2004 U.S. Election voting controversies, Florida ||| 2004 U.S. Election voting controversies, Ohio
2004 U.S. election voting controversies	2004 U.S. election voting controversies, Florida ||| 2004 U.S. election voting controversies, Ohio
2004 U.S.election voting controversies	2004 U.S.election voting controversies, Ohio
2004 United States election voting controversies	2004 United States election voting controversies, Florida ||| 2004 United States election voting controversies, Ohio
2007 triple homicide in Easton	2007 triple homicide in Easton, Pennsylvania
2008 jail break in Clovis	2008 jail break in Clovis, New Mexico
2008 prison break in Clovis	2008 prison break in Clovis, New Mexico
2008-2009 arsons in Coatesville	2008-2009 arsons in Coatesville, Pennsylvania
2008–2009 arsons in Coatesville	2008–2009 arsons in Coatesville, Pennsylvania
2009 Flood of Louisville	2009 Flood of Louisville, Kentucky
2010 jail break in Mohave County	2010 jail break in Mohave County, Arizona
29 Palms	29 Palms, California
42nd Street	42nd Street, New York
495 Grove St. Apt 20	495 Grove St. Apt 20, New York
4S Ranch	4S Ranch, California
5 Mile Terrace	5 Mile Terrace, California
5-3-03 - State College	5-3-03 - State College, Pennsylvania
5/3/03 - State College	5/3/03 - State College, Pennsylvania
5/3/03 – State College	5/3/03 – State College, Pennsylvania
56	56, Arkansas
6	6, West Virginia
7-11-03 - Mansfield	7-11-03 - Mansfield, Massachusetts
7-8-03 - New York	7-8-03 - New York, New York
7-9-03 - New York	7-9-03 - New York, New York
7/11/03 - Mansfield	7/11/03 - Mansfield, Massachusetts
7/11/03 – Mansfield	7/11/03 – Mansfield, Massachusetts
