domain	admin_area_id	admin_area
tryondailybulletin.com	10187	North Carolina
the828.com	10187	North Carolina
upandcomingweekly.com	10187	North Carolina
thesylvaherald.com	10187	North Carolina
swarmandsting.com	10187	North Carolina
bizjournals.com/charlotte	10187	North Carolina
cardiaccane.com	10187	North Carolina
wkyk.com	10187	North Carolina
chathamjournal.com	10187	North Carolina
newsargus.com	10187	North Carolina
carycitizen.com	10187	North Carolina
patch.com/north-carolina/fortbragg	10187	North Carolina
citizen-times.com/local/news-record-and-sentinel	10187	North Carolina
mtairynews.com	10187	North Carolina
fayobserver.com	10187	North Carolina
thewashingtondailynews.com	10187	North Carolina
yadkinripple.com	10187	North Carolina
denver.lakenormanpublications.com	10187	North Carolina
mecktimes.com	10187	North Carolina
thefranklinpress.com	10187	North Carolina
mooresville.lakenormanpublications.com	10187	North Carolina
ncpolicywatch.com	10187	North Carolina
blackmountainnews.com	10187	North Carolina
nashvillegraphic.com	10187	North Carolina
northcarolinahealthnews.org	10187	North Carolina
clemmonscourier.net	10187	North Carolina
balldurham.com	10187	North Carolina
newbernnow.com	10187	North Carolina
scalawagmagazine.org	10187	North Carolina
roanokebeacon.com	10187	North Carolina
mitchellnews.com	10187	North Carolina
raleighconvergence.com	10187	North Carolina
oxfordledger.com	10187	North Carolina
outerbanksvoice.com	10187	North Carolina
themaconcountynews.com	10187	North Carolina
hpenews.com/live-content/tvilletimes	10187	North Carolina
weeklypostnc.com	10187	North Carolina
wxii12.com	10187	North Carolina
rccatalyst.com	10187	North Carolina
corneliustoday.com	10187	North Carolina
mcdowellnews.com	10187	North Carolina
unioncountyweekly.com	10187	North Carolina
dentonorator.com	10187	North Carolina
catscratchreader.com	10187	North Carolina
chapelboro.com	10187	North Carolina
newbernsj.com	10187	North Carolina
spectrumlocalnews.com/nc/triangle-sandhills	10187	North Carolina
homeinhenderson.com	10187	North Carolina
brunswickbeacon.com	10187	North Carolina
coastalreview.org	10187	North Carolina
butnercreedmoornews.com	10187	North Carolina
patch.com/north-carolina/greenville-nc	10187	North Carolina
cherokeenc.fetchyournews.com	10187	North Carolina
thetimesnews.com	10187	North Carolina
caldwelljournal.com	10187	North Carolina
robesonian.com	10187	North Carolina
thecharlottepost.com	10187	North Carolina
cabarrusmagazine.com	10187	North Carolina
wfae.org	10187	North Carolina
kinston.com	10187	North Carolina
transylvaniatimes.com	10187	North Carolina
