id	name	population	location_type	admin_area_id	sub_admin_area_id	admin_area	sub_admin_area
47986	Bellfountain		Locality	24391.0	47986	Indiana	Bellfountain
960	Northumberland	12147.0	SubAdminArea	915.0	960	Virginia	Northumberland
11220	Nome	59.0	Locality	11160.0	11220	North Dakota	Nome
12210	Madison	35392.0	SubAdminArea	11706.0	12210	Nebraska	Madison
43396	Electra		Locality	16606.0	43396	California	Electra
8340	Garrett	847.0	Locality	6614.0	8340	Texas	Garrett
34553	Taylor	61276.0	Locality	34363.0	34517	Michigan	Wayne County
17813	Edgewood	25.0	Locality	16606.0	17792	California	Siskiyou County
18173	Benton	293.0	Locality	16606.0	18164	California	Mono County
17070	Oroville	45655.0	Locality	16606.0	17046	California	Butte County
39863	Summit	113.0	Locality	39344.0	39856	Oregon	Benton County
41213	Pleasant Hill		Locality	19743.0	20261	Alabama	Jackson County
38693	Viola		Locality	38303.0	38693	Kentucky	Viola
23753	Lakemont		Locality	23298.0	23753	Georgia	Lakemont
47333	Pattonsburg		Locality	21659.0	47333	Illinois	Pattonsburg
47513	Altmar		Locality	21659.0	47513	Illinois	Altmar
16553	Vicksburg	862.0	Locality	14499.0	16544	Pennsylvania	Union County
24676	Osgood	1593.0	Locality	24391.0	24676	Indiana	Osgood
35409	Bentley	525.0	Locality	35359.0	35409	Kansas	Bentley
47919	Alford		Locality	24391.0	47919	Indiana	Alford
33969	Sibley	15028.0	SubAdminArea	33129.0	33969	Minnesota	Sibley
49359	Pinckard		Locality	38303.0	49359	Kentucky	Pinckard
36759	Winston	245.0	Locality	36387.0	36759	Montana	Winston
31449	Layton	76691.0	Locality	31331.0	31443	Utah	Davis County
66279	Hopkins		Locality	915.0	1215	Virginia	Accomack County
31696	Sterling	309.0	Locality	31331.0	31685	Utah	Sanpete County
26116	Melrose	107.0	Locality	25316.0	26111	Iowa	Monroe County
7203	Grayson	133991.0	SubAdminArea	6614.0	7203	Texas	Grayson
37286	Belzoni	4155.0	Locality	37030.0	37286	Mississippi	Belzoni
20276	Skyline	826.0	Locality	19743.0	20276	Alabama	Skyline
24056	Portal	668.0	Locality	23298.0	24056	Georgia	Portal
37669	Rodney		Locality	37030.0	37669	Mississippi	Rodney
33236	Ely	3386.0	Locality	33129.0	33236	Minnesota	Ely
32966	Knox City	207.0	Locality	31770.0	32966	Missouri	Knox City
46016	Boyd		Locality	25316.0	46016	Iowa	Boyd
28196	Caribou	7060.0	SubAdminArea	28035.0	28196	Idaho	Caribou
14786	Avon	1622.0	Locality	14499.0	14777	Pennsylvania	Lebanon County
12063	Huntley	44.0	Locality	11706.0	12062	Nebraska	Harlan County
8103	Greenville	25000.0	Locality	6614.0	8090	Texas	Hunt County
37939	Goose Creek	42619.0	Locality	37763.0	37933	South Carolina	Berkeley County
52887	Rapidan		Locality	33129.0	52887	Minnesota	Rapidan
51987	Acme		Locality	34363.0	51987	Michigan	Acme
10497	Catawba	623.0	Locality	10187.0	10497	North Carolina	Catawba
43460	Grand Island		Locality	16606.0	43460	California	Grand Island
1834	Bridgeville	3798.0	Locality	1759.0	1834	Delaware	Bridgeville
50840	Southampton		Locality	29512.0	50840	Massachusetts	Southampton
14547	Seward	472.0	Locality	14499.0	14547	Pennsylvania	Seward
16684	Napa	139417.0	SubAdminArea	16606.0	16684	California	Napa
12004	Cedar Creek	402.0	Locality	11706.0	12004	Nebraska	Cedar Creek
32457	Seligman	845.0	Locality	31770.0	32457	Missouri	Seligman
30117	Quincy	698.0	Locality	29828.0	30115	Ohio	Logan County
16797	Ukiah	29637.0	Locality	16606.0	16790	California	Mendocino County
13534	Long Beach	33750.0	Locality	13115.0	13427	New York	Nassau County
65780	Brownsville		Locality	915.0	1105	Virginia	Albemarle County
67220	Newton		Locality	2.0	710	Washington	Grays Harbor County
57590	Mason		Locality	18350.0	18404	Nevada	Lyon County
45409	Afton		Locality	23298.0	45409	Georgia	Afton
70879	Tokai		Locality		70879		Tokai
13413	Greene	47491.0	SubAdminArea	13115.0	13413	New York	Greene
38569	Gamaliel	360.0	Locality	38303.0	38569	Kentucky	Gamaliel
40346	Lowry	6.0	Locality	39893.0	40346	South Dakota	Lowry
48289	Kingston		Locality	24391.0	24392	Indiana	Decatur County
7743	Aurora	1434.0	Locality	6614.0	7730	Texas	Wise County
67909	Warwick		Locality	2.0	588	Washington	Klickitat County
25586	Lincoln	150.0	Locality	25316.0	25578	Iowa	Tama County
37489	Blaine		Locality	37030.0	37481	Mississippi	Sunflower County
38119	Garden City	9702.0	Locality	37763.0	38104	South Carolina	Horry County
39536	Glendale	887.0	Locality	39344.0	39529	Oregon	Douglas County
42596	Swansea		Locality	16606.0	18311	California	Inyo County
18296	Junction City	668.0	Locality	16606.0	18294	California	Trinity County
11281	Walcott	242.0	Locality	11160.0	11281	North Dakota	Walcott
52231	Linwood		Locality	34363.0	52231	Michigan	Linwood
8941	Palo Pinto	28875.0	SubAdminArea	6614.0	8941	Texas	Palo Pinto
3248	Taylor	16862.0	SubAdminArea	2876.0	3248	West Virginia	Taylor
13801	Manlius	4503.0	Locality	13115.0	13801	New York	Manlius
11798	Brainard	317.0	Locality	11706.0	11798	Nebraska	Brainard
62064	Albany		Locality	14499.0	16299	Pennsylvania	Fayette County
18638	Hereford		Locality	18563.0	18634	Colorado	Weld County
17648	Clovis	109691.0	Locality	16606.0	17604	California	Fresno County
19178	Gardner		Locality	18563.0	19177	Colorado	Huerfano County
21901	Columbia	10274.0	Locality	21659.0	21897	Illinois	Monroe County
6061	McKinley	72290.0	SubAdminArea	5995.0	6061	New Mexico	McKinley
25501	Dubuque	96854.0	SubAdminArea	25316.0	25501	Iowa	Dubuque
63774	Antioch		Locality	12445.0	12908	Tennessee	Tipton County
49374	Rockdale		Locality	38303.0	49374	Kentucky	Rockdale
34861	Pleasant Ridge	2467.0	Locality	34363.0	34861	Michigan	Pleasant Ridge
2348	Oakfield	1070.0	Locality	1860.0	2348	Wisconsin	Oakfield
34681	Hillman	666.0	Locality	34363.0	34681	Michigan	Hillman
13958	Schenectady	155350.0	SubAdminArea	13115.0	13958	New York	Schenectady
36751	Cascade	687.0	Locality	36387.0	36751	Montana	Cascade
10741	Lincoln	83770.0	SubAdminArea	10187.0	10741	North Carolina	Lincoln
48204	Georgetown		Locality	24391.0	25122	Indiana	Cass County
18818	Sedalia	161.0	Locality	18563.0	18811	Colorado	Douglas County
18481	Enterprise	155773.0	Locality	18350.0	18459	Nevada	Clark County
30361	Dayton	718169.0	Locality	29828.0	30338	Ohio	Montgomery County
11078	Spencer	3256.0	Locality	10187.0	11071	North Carolina	Rowan County
2258	Ontario	550.0	Locality	1860.0	2251	Wisconsin	Vernon County
